filepath,xmin,xmax,ymin,ymax
d:\Project/DataSet/images\C1.xml,186,326,152,245
d:\Project/DataSet/images\C10.xml,142,256,67,110
d:\Project/DataSet/images\C100.xml,29,257,100,157
d:\Project/DataSet/images\C101.xml,104,251,95,207
d:\Project/DataSet/images\C102.xml,69,268,29,94
d:\Project/DataSet/images\C103.xml,103,288,134,186
d:\Project/DataSet/images\C104.xml,122,247,135,206
d:\Project/DataSet/images\C105.xml,145,244,14,119
d:\Project/DataSet/images\C106.xml,152,282,12,110
d:\Project/DataSet/images\C107.xml,89,217,58,153
d:\Project/DataSet/images\C108.xml,128,237,120,197
d:\Project/DataSet/images\C109.xml,149,250,124,198
d:\Project/DataSet/images\C11.xml,89,312,77,131
d:\Project/DataSet/images\C110.xml,127,237,121,196
d:\Project/DataSet/images\C111.xml,129,223,30,108
d:\Project/DataSet/images\C112.xml,107,306,118,167
d:\Project/DataSet/images\C113.xml,124,252,54,169
d:\Project/DataSet/images\C114.xml,66,348,24,109
d:\Project/DataSet/images\C115.xml,63,285,115,174
d:\Project/DataSet/images\C116.xml,93,227,93,180
d:\Project/DataSet/images\C117.xml,120,285,19,104
d:\Project/DataSet/images\C118.xml,72,252,90,130
d:\Project/DataSet/images\C119.xml,146,252,69,164
d:\Project/DataSet/images\C12.xml,127,257,89,131
d:\Project/DataSet/images\C120.xml,122,281,73,177
d:\Project/DataSet/images\C122.xml,92,252,43,113
d:\Project/DataSet/images\C123.xml,66,212,60,189
d:\Project/DataSet/images\C124.xml,156,247,62,147
d:\Project/DataSet/images\C125.xml,121,302,131,173
d:\Project/DataSet/images\C126.xml,110,257,59,108
d:\Project/DataSet/images\C127.xml,74,285,113,166
d:\Project/DataSet/images\C128.xml,56,251,55,112
d:\Project/DataSet/images\C129.xml,47,299,124,244
d:\Project/DataSet/images\C13.xml,105,274,54,105
d:\Project/DataSet/images\C130.xml,24,319,111,183
d:\Project/DataSet/images\C131.xml,71,189,34,133
d:\Project/DataSet/images\C132.xml,150,261,187,223
d:\Project/DataSet/images\C133.xml,111,304,7,200
d:\Project/DataSet/images\C134.xml,74,284,113,166
d:\Project/DataSet/images\C135.xml,103,264,57,120
d:\Project/DataSet/images\C136.xml,76,261,122,178
d:\Project/DataSet/images\C137.xml,83,278,51,116
d:\Project/DataSet/images\C138.xml,94,262,62,117
